Temperament,Height,Weight,Life Expectancy,breed,link
"Confident, Smart, Good-Natured","18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,American Staffordshire Terrier,https://www.akc.org/dog-breeds/american-staffordshire-terrier/
"Eager, Happy, Charming",15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,American Water Spaniel,https://www.akc.org/dog-breeds/american-water-spaniel/
"Loyal, Independent, Reserved","29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,Anatolian Shepherd Dog,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/
"Agile, Versatile, Lively",19-22 inches,48-70 pounds,12-15 years,Appenzeller Sennenhund,https://www.akc.org/dog-breeds/appenzeller-sennenhund/
"Alert, Curious, Pleasant","18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Australian Cattle Dog,https://www.akc.org/dog-breeds/australian-cattle-dog/
"Loyal, Alert, Intelligent",17-20 inches,,10-13 years,Australian Kelpie,https://www.akc.org/dog-breeds/australian-kelpie/
"Smart, Work-Oriented, Exuberant","20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12-15 years,Australian Shepherd,https://www.akc.org/dog-breeds/australian-shepherd/
"Alert, Trainable, Comical","18-20 inches (males), 17-19 inches (females)","38-45 pounds (males), 32-35 pounds (females)",12-15 years,Australian Stumpy Tail Cattle Dog,https://www.akc.org/dog-breeds/australian-stump-tail-cattle-dog/
"Affectionate, Courageous, Spirited",10-11 inches,15-20 pounds,11-15 years,Australian Terrier,https://www.akc.org/dog-breeds/australian-terrier/
"Loyal, Independent, Deeply Affectionate","25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,Azawakh,https://www.akc.org/dog-breeds/azawakh/
"Friendly, Bright, Sweet-Natured",19-24.5 inches,35-65 pounds,12-14 years,Barbet,https://www.akc.org/dog-breeds/barbet/
"Independent, Smart, Poised","17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Basenji,https://www.akc.org/dog-breeds/basenji/
"Smart, Cheerful, Determined",12.5-15.5 inches,27-35 pounds,12+ years,Basset Fauve de Bretagne,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/
"Charming, Patient, Low-Key",up to 15 inches,40-65 pounds,12-13 years,Basset Hound,https://www.akc.org/dog-breeds/basset-hound/
"Loyal, Versatile, Reserved with Strangers",17-20.5 inches,37-66 pounds,12-15 years,Bavarian Mountain Scent Hound,https://www.akc.org/dog-breeds/bavarian-mountain-scent-hound/
"Friendly, Curious, Merry","13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,Beagle,https://www.akc.org/dog-breeds/beagle/
"Smart, Bouncy, Charismatic","21-22 inches (male), 20-21 inches (female)",45-55 pounds,12-14 years,Bearded Collie,https://www.akc.org/dog-breeds/bearded-collie/
"Gentle, Faithful, Obedient","25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10-12 years,Beauceron,https://www.akc.org/dog-breeds/beauceron/
"Loyal, Charming, Frollicking",15-17.5 inches,17-23 pounds,11-16 years,Bedlington Terrier,https://www.akc.org/dog-breeds/bedlington-terrier/
"Affectionate, Alert, Intelligent","24-26 inches (male), 22-24 inches (female)",55-65 pounds,10-12 years,Belgian Laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/
"Confident, Smart, Hardworking","24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,Belgian Malinois,https://www.akc.org/dog-breeds/belgian-malinois/
"Bright, Watchful, Serious-Minded","24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Belgian Sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/
"Courageous, Alert, Intelligent","24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Belgian Tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/
"Independent, Sociable, Intelligent","23.5 inches (male), 22 inches (female)","70-84 pounds (male), 57-71 pounds (female)",13-15 years,Bergamasco Sheepdog,https://www.akc.org/dog-breeds/bergamasco-sheepdog/
"Loyal, Good-Natured, Observant","23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12-13 years,Berger Picard,https://www.akc.org/dog-breeds/berger-picard/
"Good-Natured, Calm, Strong","25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7-10 years,Bernese Mountain Dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/
"Playful, Curious, Peppy",9.5-11.5 inches,12-18 pounds,14-15 years,Bichon Frise,https://www.akc.org/dog-breeds/bichon-frise/
"Intelligent, Devoted, Amusing",7-11 inches,4-8 pounds,16 years,Biewer Terrier,https://www.akc.org/dog-breeds/biewer-terrier/
"Easy-Going, Bright, Brave","25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Black and Tan Coonhound,https://www.akc.org/dog-breeds/black-and-tan-coonhound/
"Intelligent, Calm, Powerful","27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,Black Russian Terrier,https://www.akc.org/dog-breeds/black-russian-terrier/
"Friendly, Independent, Inquisitive","25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,Bloodhound,https://www.akc.org/dog-breeds/bloodhound/
"Smart, Devoted, Tenacious","22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Bluetick Coonhound,https://www.akc.org/dog-breeds/bluetick-coonhound/
"Confident, Intelligent, Calm","24-27 inches (male), 22-25 inches (female)",150-200 pounds,9-11 years,Boerboel,https://www.akc.org/dog-breeds/boerboel/
"Friendly, Devoted, Alert and Intelligent","20.5-21.7 inches (males), 19.3-20.5 inches (females)","41-60 pounds (males), 37-53 pounds (females)",12-15 years,Bohemian Shepherd,https://www.akc.org/dog-breeds/bohemian-shepherd/
